concept,family,classification,justification,required_missing_capability,closest_supported_substitute,composition_constraint_needed,composition_constraint_note,priority_unlock
local_control_margin,"Reachability, interception, space control, and spatial value",missing_primitive,Local margin of control between nearest attacker and defender to a point is reachability difference (time_to_arrival); not built. pairwise_distance gives raw distances only.,time_to_arrival,pairwise_distance,False,,MED
occupied_space_value,"Reachability, interception, space control, and spatial value",missing_modality,Value of occupied space is a learned space-value model; per calibration learned space-value = missing_modality.,learned-models,,False,,LOW
pitch_control_field,"Reachability, interception, space control, and spatial value",missing_modality,"Per calibration, pitch control = learned/model = missing_modality (learned-models).",learned-models,,False,,LOW
player_reachability_region,"Reachability, interception, space control, and spatial value",missing_primitive,The region a player can reach within a horizon is geometric reachability; per calibration geometric reachability = missing_primitive (time_to_arrival).,time_to_arrival,velocity (no reachability region),False,,HIGH
space_accessibility,"Reachability, interception, space control, and spatial value",missing_primitive,Whether a region is accessible (reachable before opponents) is geometric reachability time_to_arrival; not built.,time_to_arrival,pairwise_distance,False,,MED
space_closing_rate,"Reachability, interception, space control, and spatial value",missing_primitive,Rate at which available space closes presupposes a space/reachability measure to differentiate; time_to_arrival not built (closing_speed of a single pair exists via pressure but not a space field).,time_to_arrival,"pressure_on_carrier (closing_speed, single pair only)",False,,LOW
space_creation_candidate,"Reachability, interception, space control, and spatial value",missing_primitive,"Detecting that space was created needs a space/reachability measure to show an increase; geometric space requires time_to_arrival, not built.",time_to_arrival,team_compactness delta (coarse proxy),False,,MED
space_denial_candidate,"Reachability, interception, space control, and spatial value",missing_primitive,Denying space to opponents is defensive reachability/cover-shadow; time_to_arrival not built.,time_to_arrival,lane_occupancy (attacking only),False,,MED
space_exploitation_candidate,"Reachability, interception, space control, and spatial value",missing_primitive,Exploiting space (moving into reachable open area) needs a space/reachability measure; time_to_arrival not built. relation_destination_entry can confirm an entry but not that it was 'space'.,time_to_arrival,"relation_destination_entry (entry only, not space)",False,,MED
space_opening_rate,"Reachability, interception, space control, and spatial value",missing_primitive,Rate space opens up presupposes a space/reachability field to differentiate; time_to_arrival not built.,time_to_arrival,team_compactness delta (coarse proxy),False,,LOW
space_transfer,"Reachability, interception, space control, and spatial value",missing_primitive,Space moving from one zone to another presupposes a space/reachability field over zones; time_to_arrival not built and structured_zones not built either.,time_to_arrival,team_compactness shift (coarse proxy),False,,LOW
team_reachability_region,"Reachability, interception, space control, and spatial value",missing_primitive,The region a team collectively reaches first is geometric reachability time_to_arrival aggregated; not built.,time_to_arrival,team_compactness (no reachability region),False,,MED
time_to_intercept_ball,"Reachability, interception, space control, and spatial value",missing_primitive,"Per calibration, time to intercept = missing_primitive (time_to_arrival); the defender's time to reach the ball line is not built.",time_to_arrival,pairwise_distance + velocity,False,,HIGH
time_to_location,"Reachability, interception, space control, and spatial value",missing_primitive,Time for a player to reach a fixed location is the core geometric time_to_arrival primitive; velocity exists but the arrival-time computation is not built.,time_to_arrival,velocity + distance (no arrival-time composition),False,,HIGH
time_to_moving_target,"Reachability, interception, space control, and spatial value",missing_primitive,"Time to reach a moving target (e.g., the ball or a runner) is interception-style time_to_arrival with relative motion; not built.",time_to_arrival,velocity + pairwise_distance + closing_speed (no solve),False,,HIGH
ball_track_quality,"Data quality, synchronization, and provenance",supported,Quality/confidence of the ball track maps to tracking_quality (UNKNOWN when thin) applied to the ball entity.,,tracking_quality (ball),False,,LOW
clock_drift_estimate,"Data quality, synchronization, and provenance",ambiguous_or_needs_definition,Estimating drift between event clock and tracking clock is a sync primitive; tracking_quality covers presence/coverage but not a clock-drift model. Whether 'drift' here means a detected misalignment flag or a fitted offset model is undefined.,,"tracking_quality (presence only, not clock model)",False,,LOW
clock_offset_estimate,"Data quality, synchronization, and provenance",ambiguous_or_needs_definition,A fixed event-vs-tracking clock offset estimate is a sync primitive not covered by tracking_quality; per guidance clock-offset/sync may be supported or needs_definition and the intended representation (flag vs fitted scalar) is undefined.,,tracking_quality (no clock-offset model),False,,LOW
coordinate_outlier_candidate,"Data quality, synchronization, and provenance",supported,Flagging implausible position coordinates is a tracking_quality signal (positions degraded/UNKNOWN when implausible/thin).,,tracking_quality,False,,LOW
event_tracking_alignment_candidate,"Data quality, synchronization, and provenance",ambiguous_or_needs_definition,"Aligning an event to a tracking frame is event-tracking sync; action_event_anchor anchors events to time but there is no explicit alignment-confidence primitive, and 'candidate alignment' representation is undefined (sync, not core coverage).",,"action_event_anchor (anchoring, not alignment confidence)",False,,LOW
event_tracking_alignment_confidence,"Data quality, synchronization, and provenance",ambiguous_or_needs_definition,"Confidence in event-to-tracking alignment is a sync-quality measure; tracking_quality covers tracking presence but not event-alignment confidence, and the exact metric is undefined.",,tracking_quality (tracking presence only),False,,LOW
identity_swap_candidate,"Data quality, synchronization, and provenance",role_or_reference_gap,"Detecting that two players' track identities were swapped is an entity identity/reference problem; there is no player identity-resolution or role/reference primitive (player ROLE taxonomy is a stated gap), and tracking_quality flags thinness not identity confusion.",entity identity resolution / reference,"tracking_quality (thinness only, not identity)",False,,MED
interpolation_mask,"Data quality, synchronization, and provenance",supported,A mask of which samples were interpolated/filled is part of tracking_quality provenance (positions known vs UNKNOWN/derived when thin).,,tracking_quality,False,,LOW
irregular_sampling_signal,"Data quality, synchronization, and provenance",supported,"Irregular/variable sampling cadence is a tracking_quality condition (drives UNKNOWN/sparse handling, e.g. velocity UNKNOWN when sparse).",,tracking_quality,False,,LOW
kinematic_outlier_candidate,"Data quality, synchronization, and provenance",supported,Implausible velocity/displacement jumps are detectable from velocity (displacement-derived) combined with tracking_quality flagging the segment UNKNOWN/degraded.,,tracking_quality + velocity,False,,LOW
measurement_uncertainty,"Data quality, synchronization, and provenance",supported,"Per-sample measurement uncertainty is what tracking_quality expresses (confidence, UNKNOWN when thin).",,tracking_quality,False,,LOW
pitch_calibration_quality,"Data quality, synchronization, and provenance",ambiguous_or_needs_definition,"Quality of pitch coordinate calibration is a provenance/calibration measure; tracking_quality covers entity-track presence but not camera/pitch homography calibration quality, and the intended scope is undefined.",,"tracking_quality (entity presence, not calibration)",False,,LOW
provider_event_conflict,"Data quality, synchronization, and provenance",ambiguous_or_needs_definition,Disagreement between event providers is a multi-source provenance/conflict check; the catalog has no cross-provider comparison primitive and the comparison semantics are undefined (events available but no provider-conflict operator).,,,False,,LOW
quality_reason_histogram,"Data quality, synchronization, and provenance",supported,A histogram of why quality is degraded aggregates tracking_quality reason codes via count; tracking_quality supplies the reasons and count is an available operator.,,tracking_quality + count,False,,LOW
required_entity_coverage,"Data quality, synchronization, and provenance",supported,Whether all required entities are tracked is tracking_quality presence/coverage with count_at_least over expected entities; per guidance coverage/presence is SUPPORTED.,,tracking_quality + count_at_least,False,,LOW
sample_gap_episode,"Data quality, synchronization, and provenance",supported,An episode of missing samples is a tracking_quality gap (UNKNOWN when thin) bounded via persists_for.,,tracking_quality + persists_for,False,,LOW
smoothing_provenance,"Data quality, synchronization, and provenance",supported,Provenance of smoothing/filtering applied to tracks is part of the tracking_quality provenance record (how positions were derived).,,tracking_quality,False,,LOW
source_provenance,"Data quality, synchronization, and provenance",supported,Which source produced a measurement is provenance carried by tracking_quality (and per-result provenance of positions/events).,,tracking_quality,False,,LOW
tracking_coverage_ratio,"Data quality, synchronization, and provenance",supported,Fraction of time/entities tracked is a tracking_quality coverage ratio (rate/count over present samples); per guidance coverage is SUPPORTED.,,tracking_quality (+ rate/count),False,,LOW
tracking_presence,"Data quality, synchronization, and provenance",supported,Whether an entity is present/tracked at a time is exactly tracking_quality presence (UNKNOWN when absent/thin); per guidance presence is SUPPORTED.,,tracking_quality,False,,LOW
corner_variant_candidate,Restarts and set-piece behavior,missing_primitive,"Typing a corner routine/variant (in-swing, short, near-post) requires set-piece SHAPE and delivery-pattern recognition. action_event_anchor anchors the corner restart but cannot classify the routine.",set_piece_structure,action_event_anchor (corner as event-marked restart anchor),False,,MED
delivery_episode,Restarts and set-piece behavior,partial_with_typed_gap,"A delivery is an air/ground pass from a restart; controlled_pass_episode + action_event_anchor capture the ball-release event and trajectory, but flagging it specifically as a set-piece 'delivery' with a target needs set_piece_structure typing.",set_piece_structure,controlled_pass_episode + action_event_anchor,True,,MED
delivery_target_region,Restarts and set-piece behavior,partial_with_typed_gap,Where the delivery lands is observable via relation_destination_entry into a region; but the region must be a structured set-piece target zone (near post / 6-yard / penalty spot) which needs structured_zones / set_piece_structure.,structured_zones (set-piece target regions),relation_destination_entry (ball-enters-region-in-window),True,,MED
delivery_trajectory_class,Restarts and set-piece behavior,missing_primitive,"Classifying delivery flight (in-swing/out-swing/driven/floated) requires curved-trajectory typing of ball path under set-piece context; no trajectory-class primitive exists, ground/air not modeled at this granularity.",set_piece_structure (delivery trajectory typing),velocity (ball) + relation_destination_entry,False,,LOW
first_contact,Restarts and set-piece behavior,partial_with_typed_gap,First touch after a delivery is detectable as the next action_event_anchor/controlled_pass touch following the restart; but identifying it as the set-piece 'first contact' needs the restart-to-contact composition and a touch/contact primitive distinct from a completed pass.,contact/touch primitive scoped to set-piece,action_event_anchor + action_chain (first action after restart),True,,MED
first_contact_winner,Restarts and set-piece behavior,missing_primitive,"Determining WHO wins the aerial/ground first contact is a contested-ball/duel outcome; no duel or contest primitive exists, and air contests need height the model does not resolve.",duel/contest primitive (+ set_piece_structure),pairwise_distance + nearest entity heuristic (weak),False,,MED
free_kick_variant_candidate,Restarts and set-piece behavior,missing_primitive,Typing a free-kick routine (direct shot / wall-pass / worked) is set-piece routine recognition; action_event_anchor anchors the free kick but cannot classify the variant.,set_piece_structure,action_event_anchor (free kick as restart anchor),False,,MED
goal_kick_build_structure,Restarts and set-piece behavior,missing_primitive,The build shape from a goal kick is a set-piece/restart structural pattern; restart anchor is supported but team build-up SHAPE typing from the restart needs set_piece_structure and role/reference grouping.,set_piece_structure,action_event_anchor + team_compactness + multi_line_model,True,,LOW
penalty_setup_state,Restarts and set-piece behavior,missing_primitive,"Penalty setup is a structured set-piece state (taker, GK, encroachment line); requires set_piece_structure and role/reference identification of taker and keeper.",set_piece_structure (+ role_or_reference_gap),action_event_anchor (penalty as restart anchor),False,,LOW
restart_award_anchor,Restarts and set-piece behavior,supported,The moment a restart is awarded is an event-marked anchor; action_event_anchor (incl. event-marked restarts) handles it directly.,,action_event_anchor,False,,LOW
restart_taken_anchor,Restarts and set-piece behavior,supported,The moment the restart is taken is an event-marked restart anchor handled by action_event_anchor (matches throw-in/restart calibration).,,action_event_anchor,False,,LOW
restart_type,Restarts and set-piece behavior,supported,The restart category (throw-in/corner/free kick/goal kick/kickoff) comes from the event label on the restart anchor; action_event_anchor with outcome_classification reads it directly.,,action_event_anchor + outcome_classification,False,,LOW
screen_candidate,Restarts and set-piece behavior,missing_primitive,Screening/blocking runs at set pieces are a marking-interference pattern requiring blocker/marker roles and set-piece structure; no set-piece marking or block primitive exists.,set_piece_structure (+ role_or_reference_gap),pairwise_distance + relative_position_to_line (weak proxy),False,,LOW
second_ball_recovery,Restarts and set-piece behavior,partial_with_typed_gap,"Recovery of a loose ball after first contact is a possession-change to a recovering team, observable via change_across_anchor + possession_segment, but the 'second ball' contest itself (loose-ball/duel) is a missing primitive.",loose_ball/contest primitive,change_across_anchor + possession_segment,True,,MED
second_ball_region,Restarts and set-piece behavior,partial_with_typed_gap,"Where second balls drop is a region the ball enters (relation_destination_entry), but defining the set-piece second-ball zone needs structured_zones around the delivery target.",structured_zones,relation_destination_entry + ball_lateral_fraction,True,,LOW
set_piece_attacking_shape,Restarts and set-piece behavior,missing_primitive,"Attacking set-piece SHAPE (clustered runners, near/far stations) is explicitly set-piece structure typing; calibration marks this as missing_primitive.",set_piece_structure (+ role_or_reference_gap),team_compactness + defensive_outfield_centroid (geometric only),False,,MED
set_piece_block_candidate,Restarts and set-piece behavior,missing_primitive,Blocking/picking at set pieces requires set-piece marking-scheme structure and blocker roles; no such primitive and no role taxonomy.,set_piece_structure (+ role_or_reference_gap),pairwise_distance (weak),False,,LOW
set_piece_clearance,Restarts and set-piece behavior,partial_with_typed_gap,"A clearing pass/release away from the box after a set piece is an action event with progression away from goal; controlled_pass_episode + action_event_anchor capture it, but labeling it a defensive 'clearance' needs the set-piece context and a clearance action type.",clearance action type within set_piece_structure,controlled_pass_episode + action_event_anchor,True,,LOW
set_piece_continuation,Restarts and set-piece behavior,supported,Whether the set-piece possession continues is an outcome window: action_chain (same-possession ordered) following the restart_taken anchor plus change_across_anchor tells retained-vs-lost.,,action_event_anchor + action_chain + change_across_anchor,False,,LOW
set_piece_defensive_shape,Restarts and set-piece behavior,missing_primitive,"Defensive set-piece SHAPE/marking (zonal vs man, line setup) is the canonical missing-primitive case in calibration; needs set_piece_structure and marking-scheme roles.",set_piece_structure (+ role_or_reference_gap),defensive_line_model + team_compactness (geometric only),False,,MED
set_piece_marking_scheme_candidate,Restarts and set-piece behavior,role_or_reference_gap,"Zonal/man marking scheme inference requires assigning each defender to a marked attacker or zone — a role/reference assignment the system lacks, on top of set_piece_structure.",marking-assignment role/reference (+ set_piece_structure),pairwise_distance + nearest-defender heuristic (weak),False,,MED
set_piece_outcome,Restarts and set-piece behavior,supported,The outcome of the set piece (shot / cleared / retained / turnover within window) is an outcome-window composition over the restart anchor.,,action_event_anchor + relation_destination_entry + change_across_anchor + outcome_classification,False,,MED
set_piece_routine_signature,Restarts and set-piece behavior,missing_primitive,Routine 'signature' / pattern typing across repeated set pieces requires set-piece structure plus pattern recognition over run/delivery configurations; not expressible from current primitives.,set_piece_structure (routine typing),"action_chain (sequence only, no shape)",False,,LOW
set_piece_run_onset,Restarts and set-piece behavior,partial_with_typed_gap,"The start of a runner's movement is detectable from velocity onset, but scoping it as a set-piece run (timed to delivery, attacker role) needs set_piece_structure context.",set_piece_structure (run context),velocity + action_event_anchor (restart timing),True,,LOW
set_piece_run_pattern,Restarts and set-piece behavior,missing_primitive,"Coordinated runner patterns (near-post peel, blocker-runner) are set-piece routine structure with role assignment; not expressible from geometric primitives.",set_piece_structure (+ role_or_reference_gap),velocity + relation_destination_entry (individual paths only),False,,LOW
set_piece_setup_episode,Restarts and set-piece behavior,partial_with_typed_gap,"The pre-delivery setup window can be bracketed between restart_award and restart_taken anchors, but characterizing the setup (stations, marking) is set-piece structure that is missing.",set_piece_structure,action_event_anchor (award-to-taken window),True,,LOW
short_restart_sequence,Restarts and set-piece behavior,supported,A short restart followed by passes is an ordered same-possession action_chain anchored on the restart_taken event; pass legs and forward progression are controlled_pass_episodes.,,action_event_anchor + action_chain + controlled_pass_episode,False,,MED
throw_in_pattern_candidate,Restarts and set-piece behavior,missing_primitive,"Typing a throw-in routine/pattern is set-piece routine recognition; the throw-in AS AN ANCHOR is supported (calibration), but its PATTERN needs set_piece_structure.",set_piece_structure,action_event_anchor (throw-in as restart anchor),False,,LOW
action_value,"Learned probability, value, and counterfactual models",missing_modality,Action value is a learned value model; no value/learned models are implemented.,learned value model,,False,,LOW
behavior_novelty,"Learned probability, value, and counterfactual models",missing_modality,Novelty scoring requires a learned distribution over behavior to measure deviation from; learned models not available.,learned behavior/distribution model,,False,,LOW
counterfactual_assumption_record,"Learned probability, value, and counterfactual models",missing_modality,Counterfactuals are explicitly in the missing learned-models family; recording counterfactual assumptions presupposes a counterfactual engine that does not exist.,counterfactual/learned model,,False,,LOW
counterfactual_carry_option_set,"Learned probability, value, and counterfactual models",missing_modality,Enumerating carry options that were NOT taken and valuing them is counterfactual modeling; not implemented.,counterfactual/learned model,,False,,LOW
counterfactual_movement_set,"Learned probability, value, and counterfactual models",missing_modality,Alternative-movement counterfactuals require a learned/counterfactual rollout; not implemented.,counterfactual/learned model,,False,,LOW
counterfactual_pass_option_set,"Learned probability, value, and counterfactual models",missing_modality,"Unplayed pass options with valuation is counterfactual + value modeling; not implemented. (Note: actual OPEN passing options geometrically would be partial, but counterfactual valuation is the defining requirement here.)",counterfactual/learned model,"passing-lane geometry (descriptive only, no valuation)",False,,LOW
counterfactual_state_rollout,"Learned probability, value, and counterfactual models",missing_modality,Rolling out a hypothetical future state is a counterfactual simulation/learned-dynamics model; not implemented.,counterfactual/learned dynamics model,,False,,LOW
decision_quality_model,"Learned probability, value, and counterfactual models",missing_modality,Scoring decision quality requires a learned value/decision model with counterfactual baselines; not implemented.,learned decision/value model,,False,,LOW
expected_box_entry,"Learned probability, value, and counterfactual models",missing_modality,An 'expected' probability of box entry is a learned probability model. (Observed box_entry_within IS supported; the expected/probabilistic form is not.),learned probability model,"box_entry_within (observed outcome, not expectation)",False,,LOW
expected_final_third_entry,"Learned probability, value, and counterfactual models",missing_modality,"Expected/probabilistic final-third entry is a learned model; the OBSERVED final-third-entry-within window is supported, the expectation is not.",learned probability model,final_third_entry_within (observed via relation_destination_entry + action_chain),False,,LOW
expected_goal_concession,"Learned probability, value, and counterfactual models",missing_modality,Defensive xG-against is a learned probability model; not implemented.,learned probability (xG) model,,False,,LOW
expected_goals,"Learned probability, value, and counterfactual models",missing_modality,xG is the canonical learned probability model called out as not implemented.,learned probability (xG) model,,False,,LOW
expected_pass_completion,"Learned probability, value, and counterfactual models",missing_modality,Pass completion probability is explicitly called out as a learned model not implemented.,learned completion-probability model,controlled_pass_episode (observed completion only),False,,LOW
expected_possession_retention,"Learned probability, value, and counterfactual models",missing_modality,"Probability of retaining possession is a learned model; the OBSERVED retained-possession window is supported, the expectation is not.",learned probability model,change_across_anchor + action_chain (observed retention),False,,LOW
expected_possession_value,"Learned probability, value, and counterfactual models",missing_modality,EPV is a learned value model; not implemented.,learned value (EPV) model,,False,,LOW
expected_progression,"Learned probability, value, and counterfactual models",missing_modality,"Expected progression is a learned value/probability model; observed forward progression is supported, the expectation is not.",learned value/probability model,controlled_pass_episode forward progression (observed only),False,,LOW
expected_regret,"Learned probability, value, and counterfactual models",missing_modality,Regret = value of best counterfactual minus chosen action; requires counterfactual + value models. Not implemented.,counterfactual + learned value model,,False,,LOW
expected_shot_creation,"Learned probability, value, and counterfactual models",missing_modality,"Expected shot creation is a learned probability model; observed shot-within is supported, the expectation is not.",learned probability model,shot_within (observed via action_chain + relation_destination_entry),False,,LOW
expected_threat,"Learned probability, value, and counterfactual models",missing_modality,xT is a learned value model; not implemented.,learned value (xT) model,,False,,LOW
model_calibration_record,"Learned probability, value, and counterfactual models",missing_modality,"Calibration of a learned model presupposes a learned model exists to calibrate; none are implemented, so this is moot/missing.",learned model (to calibrate),,False,,LOW
model_domain_validity,"Learned probability, value, and counterfactual models",missing_modality,"Domain-validity of a learned model presupposes a learned model; none implemented. (The general governance idea of validity is supported elsewhere, but this is scoped to learned models.)",learned model (domain to validate),modality_requirement / capability_contract (governance analog),False,,LOW
off_ball_action_value,"Learned probability, value, and counterfactual models",missing_modality,Valuing off-ball actions is a learned value model; not implemented.,learned value model,,False,,LOW
opponent_response_model,"Learned probability, value, and counterfactual models",missing_modality,Predicting opponent response is a learned/counterfactual model; not implemented.,learned opponent-response model,,False,,LOW
space_value_field,"Learned probability, value, and counterfactual models",missing_modality,A valued-space field (pitch control / value surface) is a learned/probabilistic model; not implemented.,learned space-value / pitch-control model,,False,,LOW
team_style_embedding,"Learned probability, value, and counterfactual models",missing_modality,A learned style embedding is a learned representation model; not implemented.,learned embedding model,,False,,LOW
trajectory_likelihood,"Learned probability, value, and counterfactual models",missing_modality,Likelihood of a trajectory under a learned distribution requires a learned generative/probabilistic model; not implemented.,learned trajectory model,velocity / pairwise_distance (descriptive kinematics only),False,,LOW
authorability_policy,"Evidence, replay, tests, and capability governance",supported,"Policy over what capabilities may be authored is a governance meta-concept; the proof-carrying capability discipline (PASS/FAIL/UNKNOWN, contracts) already governs authorability.",,capability_contract / governance discipline (exists),False,,LOW
boundary_stability_report,"Evidence, replay, tests, and capability governance",supported,Reporting stability of decision boundaries is a parameter-sensitivity governance artifact; the system already produces sensitivity/parameter reports.,,"parameter_sensitivity_report (governance, exists)",False,,LOW
capability_contract,"Evidence, replay, tests, and capability governance",supported,Capability contracts are the core of the proof-carrying discipline that already exists.,,capability contract discipline (exists),False,,LOW
capability_invariant_test,"Evidence, replay, tests, and capability governance",supported,Invariant tests over capabilities are part of the existing capability-test / PASS-FAIL-UNKNOWN machinery.,,capability test discipline (exists),False,,LOW
capability_trace,"Evidence, replay, tests, and capability governance",supported,A trace of capability evaluation is the existing evidence/predicate trace mechanism.,,predicate_trace / evidence fields (exist),False,,LOW
catalog_gap_record,"Evidence, replay, tests, and capability governance",supported,Recording that a capability is absent is the honest UNKNOWN/gap reporting the system already does (e.g. 'rank-N not observed').,,UNKNOWN reporting / honest gap discipline (exists),False,,LOW
conflict_record,"Evidence, replay, tests, and capability governance",supported,Recording provider/evidence conflicts is part of existing provenance/evidence governance.,,evidence/provenance fields (exist),False,,LOW
cross_provider_conformance_test,"Evidence, replay, tests, and capability governance",supported,"Conformance testing across providers is a capability-test artifact; the test/PASS-FAIL discipline exists. (Provider conformance is meta-system, not football.)",,capability test discipline (exists),False,,LOW
degradation_reason,"Evidence, replay, tests, and capability governance",supported,Explaining why a result degraded to UNKNOWN/partial is the existing unknown-reason / tracking_quality reporting.,,unknown_reason / tracking_quality (exist),False,,LOW
deprecation_and_migration,"Evidence, replay, tests, and capability governance",supported,Deprecation/migration of capabilities is a governance lifecycle concern handled by the capability-contract/versioning discipline that exists.,,capability_contract / governance discipline (exists),False,,LOW
evidence_entity_set,"Evidence, replay, tests, and capability governance",supported,The set of entities supporting a result is an existing evidence field.,,evidence fields (exist),False,,LOW
evidence_frame_set,"Evidence, replay, tests, and capability governance",supported,The frames supporting a result are existing evidence fields used for replay.,,evidence fields / frozen snapshots (exist),False,,LOW
evidence_geometry,"Evidence, replay, tests, and capability governance",supported,Geometry supporting a result is an existing evidence field.,,evidence fields (exist),False,,LOW
evidence_measurements,"Evidence, replay, tests, and capability governance",supported,Measurements supporting a result are existing evidence fields.,,evidence fields (exist),False,,LOW
gold_clip_test,"Evidence, replay, tests, and capability governance",supported,Gold-clip regression testing against frozen snapshots is part of the existing replay/test discipline.,,frozen snapshots + replay + capability tests (exist),False,,LOW
modality_requirement,"Evidence, replay, tests, and capability governance",supported,Declaring which modalities a capability needs is part of the governance/contract discipline (and is how missing_modality is surfaced).,,capability_contract / modality declaration (exists),False,,LOW
parameter_sensitivity_report,"Evidence, replay, tests, and capability governance",supported,Parameter sensitivity reporting is an existing governance artifact.,,parameter sensitivity reporting (exists),False,,LOW
performance_budget,"Evidence, replay, tests, and capability governance",supported,"Compute/performance budgets are a system-governance concern the runtime governs; meta-system, treated as supported.",,governance discipline (exists),False,,LOW
predicate_trace,"Evidence, replay, tests, and capability governance",supported,Tracing predicate evaluation is the core proof-carrying trace mechanism that exists.,,predicate trace / evidence (exist),False,,LOW
provenance_trace,"Evidence, replay, tests, and capability governance",supported,Provenance tracing is an existing data-provenance/evidence capability.,,source_provenance / evidence fields (exist),False,,LOW
replay_overlay_bundle,"Evidence, replay, tests, and capability governance",supported,Bundling a replay with overlays is part of the existing replay capability over frozen snapshots/evidence frames.,,replay + evidence_frame_set / frozen snapshots (exist),False,,LOW
replay_window,"Evidence, replay, tests, and capability governance",supported,A bounded replay window is part of the existing replay machinery.,,replay (exists),False,,LOW
result_identity,"Evidence, replay, tests, and capability governance",supported,Stable identity/hashing of a result enables replay and frozen-snapshot comparison; part of existing discipline.,,frozen snapshots / result discipline (exist),False,,LOW
semantic_claim_level,"Evidence, replay, tests, and capability governance",supported,The strength of claim (observed vs proxy vs candidate) is exactly the honest PASS/FAIL/UNKNOWN + proxy-labeling discipline the system already enforces.,,PASS/FAIL/UNKNOWN + semantic_claim discipline (exists),False,,LOW
synthetic_scenario_test,"Evidence, replay, tests, and capability governance",supported,Testing capabilities against synthetic scenarios is part of the existing capability-test discipline.,,capability tests (exist),False,,LOW
unknown_reason,"Evidence, replay, tests, and capability governance",supported,Recording why a result is UNKNOWN is the core honest-UNKNOWN reporting that exists.,,UNKNOWN reason reporting (exists),False,,LOW
ball_height_state,"Ball contact, control, contest, and possession",missing_primitive,Ball height (ground/air) is not modeled; tracking provides planar positions and velocity but no vertical/height state. No ground_air primitive in catalog.,ball_height / vertical-state primitive,velocity (planar only),False,,MED
ball_motion_state,"Ball contact, control, contest, and possession",supported,Whether the ball is moving/stationary and its motion is derivable from ball velocity over tracking.,,velocity (ball) + tracking_quality,False,,LOW
ball_out_of_bounds_candidate,"Ball contact, control, contest, and possession",supported,Ball leaving the field is a region-exit / boundary crossing detectable from ball position vs pitch bounds; an out event also anchors via action_event_anchor.,,ball_lateral_fraction + relation_destination_entry (region/boundary) + action_event_anchor,False,,LOW
contact_candidate,"Ball contact, control, contest, and possession",missing_primitive,A ball-contact (touch) event is not a catalog primitive; controlled_pass_episode and one_touch_relay infer completed passes but a generic player-ball contact requires a touch/contact primitive.,contact/touch primitive,pairwise_distance (player-ball) + velocity change (proxy),False,,MED
contested_ball_episode,"Ball contact, control, contest, and possession",missing_primitive,A contest between players for the ball is a duel/contest with no primitive; tracking proximity alone cannot establish a contest.,duel/contest primitive,pairwise_distance + pressure_on_carrier (weak proxy),False,,HIGH
control_gain_candidate,"Ball contact, control, contest, and possession",partial_with_typed_gap,"Gaining control corresponds to a possession start, observable via change_across_anchor / possession_segment boundaries; but pinpointing the control-GAIN touch needs a touch/contact primitive.",contact/touch primitive,change_across_anchor + possession_segment,True,,MED
control_loss_candidate,"Ball contact, control, contest, and possession",partial_with_typed_gap,"Losing control is a possession end / turnover, observable via change_across_anchor; but a miscontrol-specific loss (vs a tackled/intercepted loss) needs a touch/contest primitive to disambiguate.",contact/touch + contest primitive,change_across_anchor + possession_segment,True,,MED
dead_ball_control_state,"Ball contact, control, contest, and possession",supported,Whether the ball is dead (out of play / pre-restart) is given by the restart/event anchor and ball motion; action_event_anchor marks dead-ball periods.,,action_event_anchor + velocity (ball stationary),False,,LOW
duel_for_control_episode,"Ball contact, control, contest, and possession",missing_primitive,A duel is a defensive/physical contest with no primitive (no duel/tackle/interception primitive per guidance).,duel primitive,pairwise_distance + pressure_on_carrier (weak proxy),False,,HIGH
loose_ball_episode,"Ball contact, control, contest, and possession",missing_primitive,A loose/uncontrolled ball state (no team in control) is not a catalog primitive; possession_segment assumes control. Requires a loose-ball primitive.,loose_ball primitive,possession_segment gap + velocity (ball free),False,,MED
player_ball_proximity,"Ball contact, control, contest, and possession",supported,Distance between a player and the ball is a direct pairwise_distance over tracking.,,pairwise_distance,False,,LOW
player_ball_reachability,"Ball contact, control, contest, and possession",partial_with_typed_gap,Whether a player can reach the ball needs a time-to-arrival/intercept computation; pairwise_distance + velocity give the inputs but the reachability primitive (time_to_arrival) is missing.,time_to_arrival,pairwise_distance + velocity,True,,MED
player_control_episode,"Ball contact, control, contest, and possession",partial_with_typed_gap,A player in control during a pass is captured by controlled_pass_episode legs and one_touch_relay; but a standalone player-control episode (carry-like dwell with the ball) needs a carry/touch primitive.,carry_episode / touch primitive,controlled_pass_episode + one_touch_relay_episode + pairwise_distance,True,,MED
player_control_state,"Ball contact, control, contest, and possession",partial_with_typed_gap,"Instantaneous 'this player has the ball' state is approximated by nearest-player-to-ball within control distance, but firmly assigning control needs a touch/contact primitive.",contact/touch primitive,pairwise_distance (nearest to ball) + possession_segment,True,,MED
possession_change,"Ball contact, control, contest, and possession",supported,Change of possession is directly the change_across_anchor over possession_segment boundaries (turnover/regain).,,change_across_anchor + possession_segment,False,,LOW
possession_continuity_score,"Ball contact, control, contest, and possession",supported,"Continuity/retention over a window is composed from possession_segment + action_chain (same-possession, never bridges turnover) + change_across_anchor aggregated.",,possession_segment + action_chain + change_across_anchor,False,,LOW
possession_sequence,"Ball contact, control, contest, and possession",supported,An ordered sequence of actions within a possession is exactly action_chain / pass_chain_episode (same-possession ordered).,,action_chain + pass_chain_episode + possession_segment,False,,LOW
